formula,activity,syngony,length,width,depth,surface,km_value,km_unit,vmax_value,vmax_unit,target_source,reaction_type,c_min,c_max,c_const,c_const_unit,ccat_value,ccat_unit,ph,temperature,doi,pdf,access,title,journal,year
Au@Pt3.15,peroxidase,cubic,25,25,25,naked,0.158,mM,3.843e-07,M/s,,TMB + H2O2,0.05,1,10,mM,0.000654,mM,4,60,10.1016/j.jcis.2021.06.170,j.jcis.2021.06.170.pdf,NOT_DETECTED,Porous Au@Pt nanoparticles with superior peroxidase-like activity for colorimetric detection of spike protein of SARS-CoV-2,Journal of Colloid and Interface Science,2021
Au@Pt3.15,peroxidase,cubic,25,25,25,naked,6.794,mM,1.3262e-06,M/s,,H2O2 + TMB,0.25,10,2,mM,0.000654,mM,4,60,10.1016/j.jcis.2021.06.170,j.jcis.2021.06.170.pdf,NOT_DETECTED,Porous Au@Pt nanoparticles with superior peroxidase-like activity for colorimetric detection of spike protein of SARS-CoV-2,Journal of Colloid and Interface Science,2021
Au,peroxidase,cubic,13,13,13,naked,1.831,mM,1.097e-08,M/s,,TMB + H2O2,0.05,1,10,mM,0.000654,mM,4,60,10.1016/j.jcis.2021.06.170,j.jcis.2021.06.170.pdf,NOT_DETECTED,Porous Au@Pt nanoparticles with superior peroxidase-like activity for colorimetric detection of spike protein of SARS-CoV-2,Journal of Colloid and Interface Science,2021
Au,peroxidase,cubic,13,13,13,naked,3.133,mM,1.011e-08,M/s,,H2O2 + TMB,0.25,10,2,mM,0.000654,mM,4,60,10.1016/j.jcis.2021.06.170,j.jcis.2021.06.170.pdf,NOT_DETECTED,Porous Au@Pt nanoparticles with superior peroxidase-like activity for colorimetric detection of spike protein of SARS-CoV-2,Journal of Colloid and Interface Science,2021
CeO2,oxidase,NOT_DETECTED,5,5,5,poly(acrylic acid),3.8,mM,0.7,mM/s,NOT_DETECTED,TMB,NOT_DETECTED,NOT_DETECTED,5.0,µM,5.0,µM,4.0,room temperature,10.1002/anie.200805279,anie.200805279.pdf,NOT_DETECTED,"Oxidase activity of isPNC, 5 nm, poly(acrylic acid), pH 4.0, TMB oxidation",Angewandte Chemie International Edition,2009
CeO2,oxidase,NOT_DETECTED,12,12,12,poly(acrylic acid),1.9,mM,0.6,mM/s,NOT_DETECTED,TMB,NOT_DETECTED,NOT_DETECTED,5.0,µM,5.0,µM,4.0,room temperature,10.1002/anie.200805279,anie.200805279.pdf,NOT_DETECTED,"Oxidase activity of swPNC, 12 nm, poly(acrylic acid), pH 4.0, TMB oxidation",Angewandte Chemie International Edition,2009
CeO2,oxidase,NOT_DETECTED,14,14,14,dextran,1.8,mM,0.5,mM/s,NOT_DETECTED,TMB,NOT_DETECTED,NOT_DETECTED,5.0,µM,5.0,µM,4.0,room temperature,10.1002/anie.200805279,anie.200805279.pdf,NOT_DETECTED,"Oxidase activity of isDNC, 14 nm, dextran, pH 4.0, TMB oxidation",Angewandte Chemie International Edition,2009
CeO2,oxidase,NOT_DETECTED,100,100,100,dextran,0.8,mM,0.3,mM/s,NOT_DETECTED,TMB,NOT_DETECTED,NOT_DETECTED,5.0,µM,5.0,µM,4.0,room temperature,10.1002/anie.200805279,anie.200805279.pdf,NOT_DETECTED,"Oxidase activity of swDNC, 100 nm, dextran, pH 4.0, TMB oxidation",Angewandte Chemie International Edition,2009
CeO2,oxidase,NOT_DETECTED,5,5,5,poly(acrylic acid),3.8,mM,0.7,mM/s,NOT_DETECTED,TMB,NOT_DETECTED,NOT_DETECTED,5.0,µM,5.0,µM,4.0,room temperature,10.1002/anie.200805279,anie.200805279.pdf,NOT_DETECTED,"Oxidase activity of isPNC, 5 nm, poly(acrylic acid), pH 4.0, TMB oxidation, pH variation study",Angewandte Chemie International Edition,2009
CeO2,oxidase,NOT_DETECTED,5,5,5,poly(acrylic acid),6.9,mM,0.36,mM/s,NOT_DETECTED,TMB,NOT_DETECTED,NOT_DETECTED,5.0,µM,5.0,µM,5.0,room temperature,10.1002/anie.200805279,anie.200805279.pdf,NOT_DETECTED,"Oxidase activity of isPNC, 5 nm, poly(acrylic acid), pH 5.0, TMB oxidation, pH variation study",Angewandte Chemie International Edition,2009
CeO2,oxidase,NOT_DETECTED,5,5,5,poly(acrylic acid),2.4,mM,0.1,mM/s,NOT_DETECTED,TMB,NOT_DETECTED,NOT_DETECTED,5.0,µM,5.0,µM,6.0,room temperature,10.1002/anie.200805279,anie.200805279.pdf,NOT_DETECTED,"Oxidase activity of isPNC, 5 nm, poly(acrylic acid), pH 6.0, TMB oxidation, pH variation study",Angewandte Chemie International Edition,2009
CeO2,oxidase,NOT_DETECTED,5,5,5,poly(acrylic acid),1.3,mM,0.1,mM/s,NOT_DETECTED,TMB,NOT_DETECTED,NOT_DETECTED,5.0,µM,5.0,µM,7.0,room temperature,10.1002/anie.200805279,anie.200805279.pdf,NOT_DETECTED,"Oxidase activity of isPNC, 5 nm, poly(acrylic acid), pH 7.0, TMB oxidation, pH variation study",Angewandte Chemie International Edition,2009
Pt,oxidase,cubic,40,40,40,naked,0.124,mM,0.0066,µmol/min,NOT_DETECTED,TMB,0.025,0.4,NOT_DETECTED,NOT_DETECTED,0.0325,mM,NOT_DETECTED,NOT_DETECTED,10.1038/srep40103,srep40103.pdf,True,AuPt Alloy Nanostructures with Tunable Composition and Enzyme-like Activities for Colorimetric Detection of Bisulfide,Scientific Reports,2017
Au0.09Pt0.91,oxidase,cubic,39,39,39,naked,0.108,mM,0.0056,µmol/min,NOT_DETECTED,TMB,0.025,0.4,NOT_DETECTED,NOT_DETECTED,0.0325,mM,NOT_DETECTED,NOT_DETECTED,10.1038/srep40103,srep40103.pdf,True,AuPt Alloy Nanostructures with Tunable Composition and Enzyme-like Activities for Colorimetric Detection of Bisulfide,Scientific Reports,2017
Au0.15Pt0.85,oxidase,cubic,37,37,37,naked,0.099,mM,0.0042,µmol/min,NOT_DETECTED,TMB,0.025,0.4,NOT_DETECTED,NOT_DETECTED,0.0325,mM,NOT_DETECTED,NOT_DETECTED,10.1038/srep40103,srep40103.pdf,True,AuPt Alloy Nanostructures with Tunable Composition and Enzyme-like Activities for Colorimetric Detection of Bisulfide,Scientific Reports,2017
Au0.25Pt0.75,oxidase,cubic,35,35,35,naked,0.092,mM,0.0034,µmol/min,NOT_DETECTED,TMB,0.025,0.4,NOT_DETECTED,NOT_DETECTED,0.0325,mM,NOT_DETECTED,NOT_DETECTED,10.1038/srep40103,srep40103.pdf,True,AuPt Alloy Nanostructures with Tunable Composition and Enzyme-like Activities for Colorimetric Detection of Bisulfide,Scientific Reports,2017
Au0.4Pt0.6,oxidase,cubic,32,32,32,naked,0.078,mM,0.0023,µmol/min,NOT_DETECTED,TMB,0.025,0.4,NOT_DETECTED,NOT_DETECTED,0.0325,mM,NOT_DETECTED,NOT_DETECTED,10.1038/srep40103,srep40103.pdf,True,AuPt Alloy Nanostructures with Tunable Composition and Enzyme-like Activities for Colorimetric Detection of Bisulfide,Scientific Reports,2017
Au0.5Pt0.5,oxidase,cubic,24,24,24,naked,0.069,mM,0.0016,µmol/min,NOT_DETECTED,TMB,0.025,0.4,NOT_DETECTED,NOT_DETECTED,0.0325,mM,NOT_DETECTED,NOT_DETECTED,10.1038/srep40103,srep40103.pdf,True,AuPt Alloy Nanostructures with Tunable Composition and Enzyme-like Activities for Colorimetric Detection of Bisulfide,Scientific Reports,2017
Au0.75Pt0.25,oxidase,cubic,20,20,20,naked,0.062,mM,0.001,µmol/min,NOT_DETECTED,TMB,0.025,0.4,NOT_DETECTED,NOT_DETECTED,0.0325,mM,NOT_DETECTED,NOT_DETECTED,10.1038/srep40103,srep40103.pdf,True,AuPt Alloy Nanostructures with Tunable Composition and Enzyme-like Activities for Colorimetric Detection of Bisulfide,Scientific Reports,2017
Au-NPFe2O3NC,peroxidase,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,0.0429,mM,5.882e-08,mol/s,NOT_DETECTED,TMB + H2O2,0.01,1.0,700,mM,5.0,µg,3.5,25,10.1021/acs.analchem.7b02880,acs.analchem.7b02880.pdf,Subscriber access provided by UNIVERSITY OF THE SUNSHINE COAST,Gold-Loaded Nanoporous Ferric Oxide Nanocubes with Peroxidase-Mimicking Activity for Electrocatalytic and Colorimetric Detection of Autoantibody,Analytical Chemistry,2017
Au-NPFe2O3NC,peroxidase,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,138.5,mM,4.77e-08,mol/s,NOT_DETECTED,TMB + H2O2,0.01,1.1,0.8,mM,5.0,µg,3.5,25,10.1021/acs.analchem.7b02880,acs.analchem.7b02880.pdf,Subscriber access provided by UNIVERSITY OF THE SUNSHINE COAST,Gold-Loaded Nanoporous Ferric Oxide Nanocubes with Peroxidase-Mimicking Activity for Electrocatalytic and Colorimetric Detection of Autoantibody,Analytical Chemistry,2017
